cpuName,cpuMark,cores
AMD Ryzen Threadripper PRO 5995WX,108822,64
AMD Ryzen Threadripper PRO 3995WX,83971,64
AMD Ryzen Threadripper 3990X,81568,64
AMD Ryzen Threadripper PRO 5975WX,80842,32
AMD Ryzen Threadripper PRO 5965WX,68405,24
AMD Ryzen Threadripper 3970X,63835,32
AMD Ryzen Threadripper PRO 3975WX,63495,32
AMD Ryzen Threadripper 3960X,54757,24
AMD Ryzen Threadripper PRO 5955WX,51656,16
AMD Ryzen 9 5950X,46195,16
Intel Core i9-12900KS,44243,8
AMD Ryzen Threadripper PRO 5945WX,41578,12
Apple M1 Ultra 20 Core,41360,16
Intel Core i9-12900KF,41163,8
Intel Core i9-12900K,41077,8
AMD Ryzen Threadripper PRO 3955WX,40225,16
AMD Ryzen 9 5900X,39457,12
AMD Ryzen 9 3950X,39157,16
Intel Core i9-12900,38281,8
Intel Xeon W-3175X @ 3.10GHz,37167,28
Intel Core i9-12900F,35726,8
Intel Core i9-12900T,34999,8
AMD Ryzen 9 5900,34721,12
Intel Core i7-12700K,34125,8
Intel Core i7-12700KF,34110,8
AMD Ryzen Threadripper PRO 3945WX,33417,12
Intel Core i9-10980XE @ 3.00GHz,33408,18
AMD Ryzen 9 3900XT,32869,12
AMD Ryzen 9 3900X,32751,12
AMD Ryzen Threadripper 2990WX,32475,32
Intel Core i7-12700F,32268,8
Intel Core i9-9980XE @ 3.00GHz,31905,18
Intel Core i7-12700,31659,8
AMD Ryzen 9 PRO 3900,31372,12
AMD Ryzen 9 3900,30660,12
Intel Core i9-9960X @ 3.10GHz,30655,16
AMD Ryzen Threadripper 2970WX,30433,24
Intel Core i9-9990XE @ 4.00GHz,30162,14
AMD Ryzen Threadripper 2950X,29981,16
Intel Core i9-7980XE @ 2.60GHz,29842,18
Intel Core i9-10940X @ 3.30GHz,28619,14
Intel Core i9-9940X @ 3.30GHz,28411,14
AMD Ryzen 7 5800X,28368,8
AMD Ryzen Threadripper 1950X,28037,16
Intel Xeon W-2275 @ 3.30GHz,27904,14
Intel Core i5-12600K,27429,6
Intel Core i5-12600KF,27186,6
AMD Ryzen 7 5700X,27065,8
Intel Core i9-7960X @ 2.80GHz,26699,16
Intel Core i9-10920X @ 3.50GHz,26696,12
Intel Core i9-7940X @ 3.10GHz,26508,14
AMD Ryzen Threadripper 2990X,26469,32
AMD Ryzen 7 5800,25644,8
Intel Core i9-11900K @ 3.50GHz,25539,8
AMD Ryzen 7 5800X3D,25508,8
Intel Core i9-11900KF @ 3.50GHz,25390,8
Intel Core i9-9920X @ 3.50GHz,25291,12
AMD Ryzen Threadripper 2920X,25203,12
AMD Ryzen 7 PRO 5750G,25004,8
Intel Core i7-11700K @ 3.60GHz,24749,8
AMD Ryzen 7 5700G,24545,8
Intel Core i7-11700KF @ 3.60GHz,24147,8
AMD Ryzen 7 3800XT,23815,8
Intel Core i9-11900F @ 2.50GHz,23814,8
Intel Core i9-10900K @ 3.70GHz,23768,10
Intel Core i9-10900KF @ 3.70GHz,23508,10
Intel Core i9-7920X @ 2.90GHz,23292,12
AMD Ryzen 7 3800X,23275,8
Intel Core i9-11900 @ 2.50GHz,23117,8
Intel Core i9-10850K @ 3.60GHz,23055,10
AMD Ryzen Threadripper 1920X,22903,12
AMD Ryzen 7 PRO 3700,22800,8
Intel Core i9-11900KB @ 3.30GHz,22769,8
AMD Ryzen 7 3700X,22716,8
Intel Core i7-12700T,22688,8
Intel Core i9-10900X @ 3.70GHz,22683,10
AMD Ryzen 7 5700GE,22566,8
Intel Core i7-11700B @ 3.20GHz,22539,8
AMD Ryzen 7 PRO 5750GE,22315,8
AMD Ryzen 5 5600X,22088,6
AMD Ryzen Threadripper 1920,22066,12
Intel Core i9-9900X @ 3.50GHz,21868,10
Intel Core i9-10910 @ 3.60GHz,21799,10
Intel Core i7-11700F @ 2.50GHz,21447,8
Intel Core i5-12600,21368,6
AMD Ryzen 5 5600,21350,6
Intel Core i9-7900X @ 3.30GHz,21310,10
Intel Core i9-10900F @ 2.80GHz,20881,10
AMD Ryzen 7 PRO 4700G,20848,8
AMD Ryzen 5 PRO 5650G,20633,6
Intel Core i7-11700 @ 2.50GHz,20588,8
AMD Ryzen 7 PRO 4750G,20570,8
Intel Core i9-10900 @ 2.80GHz,20446,10
AMD Ryzen 7 4700GE,20392,8
Intel Core i5-12500,20309,6
Intel Core i9-11900T @ 1.50GHz,20225,8
AMD Ryzen 7 4700G,20138,8
AMD Ryzen 5 5500,19949,6
